data,contaminant,lat,lng,valor
2025-02-14,PM10,41.730293,1.8253003, 20	
2025-02-14,03,41.730293,1.8253003, 7
2025-02-14,NO2,41.730293,1.8253003, 15	
2025-02-14,SO2,41.730293,1.8253003, 4	
2025-02-14,CO,41.730293,1.8253003, 0.3
2025-02-14,NO,41.730293,1.8253003, 34
2025-02-14,NOX,41.730293,1.8253003, 65	
2025-01-06,PM10,41.730293,1.8253003,28
2025-01-06,03,41.730293,1.8253003,57
2025-01-06,NO2,41.730293,1.8253003,38
2025-01-06,SO2,41.730293,1.8253003,3
2025-01-06,NO,41.730293,1.8253003,19
2025-01-06,NOX,41.730293,1.8253003,54
2025-02-14,PM10,41.547176,2.4432983,38
2025-02-14,PM2.5,41.547176,2.4432983,27
2025-02-14,NO2,41.547176,2.4432983,73
2025-02-14,SO2,41.547176,2.4432983,3
2025-02-14,O3,41.547176,2.4432983,86
2025-02-14,NO,41.547176,2.4432983,45
2025-02-14,NOX,41.547176,2.4432983,142
2025-02-14,CO,41.547176,2.4432983,1.3
2025-01-06,PM10,41.547176,2.4432983,48
2025-01-06,NO2,41.547176,2.4432983,41
2025-01-06,SO2,41.547176,2.4432983,4
2025-01-06,O3,41.547176,2.4432983,80
2025-01-06,NO,41.547176,2.4432983,5
2025-01-06,NOX,41.547176,2.4432983,22
2025-01-06,CO,41.547176,2.4432983,48

2025-02-14,PM10,41.547176,1.9307,55
2025-02-14,PM2.5,41.547176,1.9307,28
2025-02-14,NO2,41.547176,1.9307,42
2025-02-14,SO2,41.547176,1.9307,14
2025-02-14,O3,41.547176,1.9307,70
2025-02-14,NO,41.547176,1.9307,30

2025-01-06,PM10,41.4745,1.9307,40
2025-01-06,PM2.5,41.4745,1.9307,22
2025-01-06,NO2,41.4745,1.9307,35
2025-01-06,SO2,41.4745,1.9307,10
2025-01-06,O3,41.4745,1.9307,60
2025-01-06,NO,41.4745,1.9307,24
